               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              1.6065,              1.0186,              2.1727,             0.90029,             0.83094,             0.89223,             0.58381,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  41,              1.5885,             0.98172,                2.16,             0.88914,             0.83036,             0.88681,             0.57634,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  42,              1.5987,             0.97311,              2.2003,             0.90199,             0.84065,             0.89285,             0.58456,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  43,              1.5912,             0.93926,              2.1933,             0.89956,             0.83654,             0.89547,             0.58528,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  44,              1.5683,             0.95374,              2.1822,             0.91009,             0.82037,             0.89521,             0.58863,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  45,              1.5494,             0.93185,              2.1282,             0.91609,             0.82074,             0.90153,             0.59474,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  46,              1.5244,             0.89305,              2.1301,             0.90595,             0.83448,             0.89701,             0.59035,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  47,               1.532,             0.89912,                2.12,             0.90252,             0.84547,               0.906,             0.60032,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  48,              1.5512,             0.90516,              2.1559,             0.90513,             0.83654,             0.90227,             0.59047,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  49,              1.5136,             0.87727,              2.1167,             0.90849,             0.83863,             0.90469,             0.59661,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
